timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
40420000,40420000,-0.0005515401,-0.00040054304,-3.4288863e-05,0.6099743,0.0,0.0,0.0,-1.0
40472000,40472000,-0.0004905431,-0.0004399098,-0.0002680491,0.6097362,0.0,0.0,0.0,-1.0
40520000,40520000,-0.00034338894,-0.0003298865,-9.7875956e-05,0.6094477,0.0,0.0,0.0,-1.0
40572000,40572000,9.7205175e-06,-0.0002645544,-3.4400102e-05,0.6088179,0.0,0.0,0.0,-1.0
40619000,40619000,0.0004992967,0.00038993658,-6.844721e-05,0.60863256,0.0,0.0,0.0,-1.0
40672000,40672000,9.294591e-05,0.00027191738,-0.00010703615,0.6082963,0.0,0.0,0.0,-1.0
40720000,40720000,0.00016374359,-0.00068167807,5.328831e-05,0.6084818,0.0,0.0,0.0,-1.0
40772000,40772000,-0.0007569062,-0.00028783362,3.7762817e-05,0.6090382,0.0,0.0,0.0,-1.0
40820000,40820000,-0.00023809093,-0.00034739322,-0.00011321031,0.6092478,0.0,0.0,0.0,-1.0
40871000,40871000,0.0006549258,0.0010053806,1.0965964e-05,0.60892284,0.0,0.0,0.0,-1.0
40920000,40920000,0.00058358803,-0.0005253217,6.5142325e-05,0.60896707,0.0,0.0,0.0,-1.0
40972000,40972000,0.00022538875,-0.0010261656,-3.7269514e-05,0.6094314,0.0,0.0,0.0,-1.0
41024000,41024000,0.0003749697,0.0002347597,5.1917832e-05,0.60977334,0.0,0.0,0.0,-1.0
41072000,41072000,3.9760715e-05,-4.5793568e-05,2.8030781e-05,0.60996217,0.0,0.0,0.0,-1.0
41120000,41120000,2.3023233e-05,0.0002527754,0.00012462023,0.60986876,0.0,0.0,0.0,-1.0
41172000,41172000,-0.00048451097,0.0004103709,-2.8869168e-05,0.60937786,0.0,0.0,0.0,-1.0
41220000,41220000,2.2475258e-05,-0.0002868849,1.7224824e-05,0.6089131,0.0,0.0,0.0,-1.0
41270000,41270000,0.00019350454,2.9648487e-05,-9.022993e-05,0.60846823,0.0,0.0,0.0,-1.0
41319000,41319000,8.805531e-06,0.00011358047,-7.263518e-05,0.6087404,0.0,0.0,0.0,-1.0
41371000,41371000,0.0006670551,0.0009226046,9.472425e-05,0.6091687,0.0,0.0,0.0,-1.0
41419000,41419000,0.00010034189,-0.0005220138,-0.00010004679,0.6093666,0.0,0.0,0.0,-1.0
41471000,41471000,0.00032443827,-0.00032819624,-3.0325375e-05,0.6095073,0.0,0.0,0.0,-1.0
41520000,41520000,0.0004685227,6.661103e-05,-9.006118e-05,0.6089815,0.0,0.0,0.0,-1.0
41572000,41572000,-7.651894e-05,-0.000111413174,1.2233921e-05,0.6088182,0.0,0.0,0.0,-1.0
41620000,41620000,-8.26484e-05,0.000127147,-1.3264537e-05,0.6088654,0.0,0.0,0.0,-1.0
41672000,41672000,-0.00027200632,0.000486373,4.3361124e-05,0.6088351,0.0,0.0,0.0,-1.0
41720000,41720000,-0.00035246657,0.0005308932,-1.08366e-05,0.6088015,0.0,0.0,0.0,-1.0
41772000,41772000,0.0005666764,-0.0002477874,6.4813576e-05,0.6087015,0.0,0.0,0.0,-1.0
41820000,41820000,0.0001932446,-0.00039418717,-3.330593e-05,0.6093895,0.0,0.0,0.0,-1.0
41872000,41872000,-0.00083931803,0.00038522188,0.00013047575,0.6093159,0.0,0.0,0.0,-1.0
41920000,41920000,-0.00061703625,0.00011719088,0.00011461159,0.60902005,0.0,0.0,0.0,-1.0
41972000,41972000,7.7127304e-05,-0.0007587328,0.00028751986,0.6084965,0.0,0.0,0.0,-1.0
42020000,42020000,-0.00011435425,-0.00034362383,-2.3393319e-05,0.6081372,0.0,0.0,0.0,-1.0
42076000,42076000,1.9166684e-05,0.00045826272,-3.8151364e-05,0.6084768,0.0,0.0,0.0,-1.0
42123000,42123000,0.000690275,0.00017678547,0.00011448443,0.6088804,0.0,0.0,0.0,-1.0
42165000,42165000,-0.00030334652,-0.00024567512,-8.2945015e-05,0.60899854,0.0,0.0,0.0,-1.0
42219000,42219000,-0.000729772,-0.00015970525,0.00014260586,0.6092044,0.0,0.0,0.0,-1.0
