timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
25520000,1310988,1310988,1310996,1311004,0,0.0012509534,0.0008259154,0.000704857,0.0,1310988,1310988,1310996,1311004,0,0.00032968982,0.00019055558,0.00014335138,0.0,1,1,1,0,1,1,1,0
25716000,1310988,1310988,1310996,1311004,0,0.0016211442,0.0009467583,0.0007771179,0.0,1310988,1310988,1310996,1311004,0,0.00038619238,0.0002168668,0.00019287912,0.0,1,1,1,0,1,1,1,0
25920000,1310988,1310988,1310996,1311004,0,0.0011844039,0.0011529903,0.0020202752,0.0,1310988,1310988,1310996,1311004,0,0.0003992343,0.0001400071,0.00026450554,0.0,1,1,1,0,1,1,1,0
26115000,1310988,1310988,1310996,1311004,0,0.00462828,0.0024360027,0.0023656748,0.0,1310988,1310988,1310996,1311004,0,0.00020941767,8.121369e-05,0.00013208282,0.0,1,1,1,0,1,1,1,0
26315000,1310988,1310988,1310996,1311004,0,0.0017010556,0.00092438766,0.001459391,0.0,1310988,1310988,1310996,1311004,0,0.00041535054,0.00022094678,0.00019831436,0.0,1,1,1,0,1,1,1,0
26513000,1310988,1310988,1310996,1311004,0,0.002675465,0.0010440538,0.001978325,0.0,1310988,1310988,1310996,1311004,0,0.00017270561,5.0424038e-05,0.00013378891,0.0,1,1,1,0,1,1,1,0
26711000,1310988,1310988,1310996,1311004,0,0.0023145308,0.0005770814,0.0017607352,0.0,1310988,1310988,1310996,1311004,0,0.0001974884,0.00012220368,9.040624e-05,0.0,1,1,1,0,1,1,1,0
26916000,1310988,1310988,1310996,1311004,0,0.0027350963,0.0025330777,0.0006570963,0.0,1310988,1310988,1310996,1311004,0,0.00043722076,0.00023953327,0.00019988483,0.0,1,1,1,0,1,1,1,0
27115000,1310988,1310988,1310996,1311004,0,0.002116302,0.0015500231,0.0014643878,0.0,1310988,1310988,1310996,1311004,0,0.0004442291,0.00023335533,0.00022941403,0.0,1,1,1,0,1,1,1,0
27315000,1310988,1310988,1310996,1311004,0,0.002005337,0.000941698,0.0015605482,0.0,1310988,1310988,1310996,1311004,0,0.0002032452,0.00019032658,4.3590862e-05,0.0,1,1,1,0,1,1,1,0
